country,year,pop,gdp
Peru,1972,14072476,48829.83442
Philippines,1972,37925400,50034.14834
Poland,1972,33055650,
Portugal,1972,8630430,87685.80033
Qatar,1972,130534,
Romania,1972,20657957,
Russian Federation,1972,131909000,
Rwanda,1972,3983700,1280.04901
Saint Kitts & Nevis,1972,44326,
Saint Lucia,1972,106455,
Saint Vincent & Grenadines,1972,92463,214.3966994
Samoa,1972,147321,
Sao Tome & Principe,1972,77537,
Saudi Arabia,1972,6393894,191378.651
Senegal,1972,4525114,4443.742968
Serbia,1972,,
Seychelles,1972,56029,231.8304505
Sierra Leone,1972,2803031,1366.438334
Singapore,1972,2152400,17175.94426
Slovakia,1972,4596622,
Slovenia,1972,1752233,
Solomon Islands,1972,172598,
Somalia,1972,3475022,
South Africa,1972,23736489,146027.2906
Spain,1972,34604469,518298.8498
Sri Lanka,1972,12861000,8967.036827
Sudan,1972,10974622,10628.75845
Suriname,1972,371324,
Swaziland,1972,472230,633.9052665
Sweden,1972,8122300,219775.5801
Switzerland,1972,6260956,
Syria,1972,6800141,
Tajikistan,1972,3111264,
Tanzania,1972,14506617,
Thailand,1972,39061994,37484.67772
Togo,1972,2247582,1319.023362
Tonga,1972,86347,
Trinidad & Tobago,1972,968741,7281.511367
Tunisia,1972,5287543,8262.210703
Turkey,1972,36587225,166948.7361
Turkmenistan,1972,2324013,
Tuvalu,1972,7458,
Uganda,1972,9988380,
Ukraine,1972,47783011,
United Arab Emirates,1972,332760,
United Kingdom,1972,56086065,1074138.825
United States of America,1972,209896000,5197055.474
Uruguay,1972,2821439,15683.47127
Uzbekistan,1972,12828625,
Vanuatu,1972,90823,
Venezuela,1972,12286439,170663.7461
Vietnam,1972,44758000,
World,1972,3838924951,20976632.89
Yemen,1972,6407295,
Zambia,1972,4469895,7208.546518
Zimbabwe,1972,5535874,7263.100571
Afghanistan,1973,12027822,
Albania,1973,2296752,
Algeria,1973,15804428,45938.7388
Andorra,1973,28232,1247.905531
Angola,1973,7277960,
Antigua & Barbuda,1973,70066,
Argentina,1973,25213388,186764.812
Armenia,1973,2712781,
Australia,1973,13380000,360844.684
Austria,1973,7586115,170637.2776
Azerbaijan,1973,5483084,
Bahamas,1973,181488,3527.302077
Bahrain,1973,239527,
Bangladesh,1973,68691185,22189.97202
Barbados,1973,242976,
Belarus,1973,9257272,
Belgium,1973,9741720,226119.0391
Belize,1973,129294,197.1451489
Benin,1973,3113675,1840.339266
Bhutan,1973,328312,
Bolivia,1973,4798509,7527.029871
Bosnia & Herzegovina,1973,3897255,
Botswana,1973,768512,901.8117208
Brazil,1973,102584278,637677.2917
Brunei,1973,148560,
Bulgaria,1973,8620967,
Burkina Faso,1973,5930483,1556.911619
Burundi,1973,3578490,942.1165213
Cambodia,1973,7447285,
Cameroon,1973,7060603,6391.161482
Canada,1973,22369408,616753.4918
Cape Verde,1973,273005,
Central African Republic,1973,1936841,1128.715711
Chad,1973,3907632,2093.183556
Chile,1973,10096295,45808.86861
China,1973,881940000,223760.8492
Colombia,1973,23674504,74134.05341
Comoros,1973,244208,
Congo,1973,1496047,2819.059087
"Congo, Dem. Republic",1973,21689239,23329.14838
Cook Islands,1973,,
Costa Rica,1973,1995743,8527.34714
Cote d'Ivoire,1973,6013862,11954.56175
Croatia,1973,4478000,
Cuba,1973,9176052,23077.11011
Cyprus,1973,635111,
Czech Republic,1973,9922266,
Denmark,1973,5021861,167745.8071
Djibouti,1973,190568,
Dominica,1973,71744,
Dominican Republic,1973,4889436,10185.14564
Ecuador,1973,6611916,19205.69825
Egypt,1973,37488067,29513.97308
El Salvador,1973,3958323,10876.56955
Equatorial Guinea,1973,281021,
Eritrea,1973,1965160,
Estonia,1973,1405951,
Ethiopia,1973,31025115,
European Union (28),1973,445482637,7291335.443
Fiji,1973,554107,1473.556234
Finland,1973,4666081,99849.4691
France,1973,53441264,1223981.43
Gabon,1973,624621,5738.21323
Gambia,1973,489861,224.9604148
Georgia,1973,4242500,11008.30887
Germany,1973,78936666,1728981.647
Ghana,1973,9350111,9925.277071
Greece,1973,8929086,151212.3074
Grenada,1973,93630,
Guatemala,1973,6104530,12727.14705
Guinea,1973,4324360,
Guinea-Bissau,1973,756280,358.4932851
Guyana,1973,729916,1362.181115
Haiti,1973,4960657,
Honduras,1973,2968994,4221.6628
Hungary,1973,10432055,
Iceland,1973,212317,4215.563562
India,1973,593058926,211003.3737
Indonesia,1973,124242298,109765.4594
Iran,1973,30904271,226508.9835
Iraq,1973,10951166,16595.465
Ireland,1973,3085950,42051.97574
Israel,1973,3278000,50153.63864
Italy,1973,54751406,1074572.663
Jamaica,1973,1966700,9817.311156
Japan,1973,108079000,2358882.94
Jordan,1973,1945626,
Kazakhstan,1973,13382211,
Kenya,1973,12529852,10245.3405
Kiribati,1973,53604,162.9461651
Korea (North),1973,15593351,
Korea (South),1973,34103149,79526.59937
Kuwait,1973,908520,
Kyrgyzstan,1973,3153800,
Laos,1973,2919287,
Latvia,1973,2415819,
Lebanon,1973,2480419,
Lesotho,1973,1099235,476.6601161
Liberia,1973,1535229,2457.002406
Libya,1973,2430755,
Liechtenstein,1973,22563,
Lithuania,1973,3244438,
Luxembourg,1973,350450,14255.57004
"Macedonia, FYR",1973,1768992,
Madagascar,1973,7142627,4905.428818
Malawi,1973,4996940,1741.622588
Malaysia,1973,11592698,27831.54637
Maldives,1973,127791,
Mali,1973,6256187,2294.619943
Malta,1973,302200,1279.243709
Marshall Islands,1973,23439,
Mauritania,1973,1253874,1436.697033
Mauritius,1973,864819,
Mexico,1973,57280587,328533.9755
Micronesia,1973,62290,
Moldova,1973,3174000,
Mongolia,1973,1397304,
Montenegro,1973,530220,
Morocco,1973,17049165,18361.54851
Mozambique,1973,9827580,
Myanmar,1973,28347341,4728.820233
Namibia,1973,855380,
Nauru,1973,6862,
Nepal,1973,12764957,3482.266078
Netherlands,1973,13439322,361848.6943
New Zealand,1973,2961300,
Nicaragua,1973,2629505,5868.273123
Niger,1973,4902006,2272.021789
Nigeria,1973,60110433,112596.6525
Niue,1973,,
Norway,1973,3960612,145549.3115
Oman,1973,806991,6354.639272
Pakistan,1973,63059481,29801.04243
Palau,1973,12046,
Panama,1973,1653256,6243.765838
Papua New Guinea,1973,2729580,3608.018867
Paraguay,1973,2659088,3876.884945
Peru,1973,14447648,51894.85126
Philippines,1973,39026082,54497.518
Poland,1973,33357200,
Portugal,1973,8633100,97507.19849
Qatar,1973,142241,
Romania,1973,20835681,
Russian Federation,1973,132669000,
Rwanda,1973,4102321,1324.058223
Saint Kitts & Nevis,1973,44316,
Saint Lucia,1973,107466,
Saint Vincent & Grenadines,1973,93517,190.5958034
Samoa,1973,148889,
Sao Tome & Principe,1973,79022,
Saudi Arabia,1973,6714095,237635.8825
Senegal,1973,4664444,4195.638129
Serbia,1973,,
Seychelles,1973,56892,252.8208115
Sierra Leone,1973,2863739,1397.273631
Singapore,1973,2193000,19087.27539
Slovakia,1973,4641445,
Slovenia,1973,1766697,
Solomon Islands,1973,179349,
Somalia,1973,3506008,
South Africa,1973,24384538,152703.6551
Spain,1973,34988947,558666.3757
Sri Lanka,1973,13091000,9599.876388
Sudan,1973,11343926,10695.95295
Suriname,1973,368344,
Swaziland,1973,486561,691.075103
Sweden,1973,8136312,228496.2336
Switzerland,1973,6307347,
Syria,1973,7037851,
Tajikistan,1973,3203019,
Tanzania,1973,14985131,
Thailand,1973,40164966,41321.77165
Togo,1973,2303345,1369.640672
Tonga,1973,86988,
Trinidad & Tobago,1973,982592,7402.124228
Tunisia,1973,5405355,8208.122677
Turkey,1973,37472298,172395.1623
Turkmenistan,1973,2390213,
Tuvalu,1973,7537,
Uganda,1973,10256429,
Ukraine,1973,48127172,
United Arab Emirates,1973,397174,
United Kingdom,1973,56194527,1144130.511
United States of America,1973,211909000,5490331.803
Uruguay,1973,2822081,15726.63212
Uzbekistan,1973,13173590,
Vanuatu,1973,93765,
Venezuela,1973,12636969,182797.8666
Vietnam,1973,45825000,
World,1973,3914857611,22347739.52
Yemen,1973,6523452,
Zambia,1973,4629402,7139.196786
Zimbabwe,1973,5727044,7452.283619
Afghanistan,1974,12321541,
Albania,1974,2350124,
Algeria,1974,16247113,49381.80947
Andorra,1974,29520,1318.022719
Angola,1974,7474338,
Antigua & Barbuda,1974,70878,
Argentina,1974,25644506,197100.0114
Armenia,1974,2773747,
Australia,1974,13723000,375627.6564
Austria,1974,7599038,177364.0347
Azerbaijan,1974,5579077,
Bahamas,1974,185099,2936.329807
Bahrain,1974,251911,
Bangladesh,1974,69884420,24318.42444
Barbados,1974,244539,
Belarus,1974,9317584,
Belgium,1974,9772419,236441.9568
Belize,1974,131307,223.8780018
Benin,1974,3187412,1901.793939
Bhutan,1974,338943,
Bolivia,1974,4902168,7748.292042
Bosnia & Herzegovina,1974,3942223,
Botswana,1974,796095,981.1512693
Brazil,1974,105069367,695336.8396
Brunei,1974,155109,7076.283755
Bulgaria,1974,8678745,
Burkina Faso,1974,6040041,1685.923956
Burundi,1974,3618585,935.2688457
Cambodia,1974,7531424,
Cameroon,1974,7254468,7077.205517
Canada,1974,22774087,639517.787
Cape Verde,1974,272292,
Central African Republic,1974,1975521,1200.26538
Chad,1974,3999512,2197.044238
Chile,1974,10267056,46900.10427
China,1974,900350000,228929.7249
Colombia,1974,24208021,78391.21782
Comoros,1974,250104,
Congo,1974,1542690,3041.356578
"Congo, Dem. Republic",1974,22280923,24059.48741
Cook Islands,1974,,
Costa Rica,1974,2045580,9000.180012
Cote d'Ivoire,1974,6305287,12471.88117
Croatia,1974,4497000,
Cuba,1974,9315373,23304.30237
Cyprus,1974,642339,
Czech Republic,1974,9988459,
Denmark,1974,5045297,165863.0086
Djibouti,1974,205181,
Dominica,1974,71807,
Dominican Republic,1974,5019473,10796.44819
Ecuador,1974,6798206,21358.37078
Egypt,1974,38322022,30247.54395
El Salvador,1974,4053713,11456.94342
Equatorial Guinea,1974,269426,
Eritrea,1974,2019717,
Estonia,1974,1418169,
Ethiopia,1974,31851708,
European Union (28),1974,447978893,7453501.199
Fiji,1974,565388,1511.88564
Finland,1974,4690574,103081.1307
France,1974,53882416,1276506.779
Gabon,1974,636696,8004.06695
Gambia,1974,505512,238.1853733
Georgia,1974,4279500,11977.95302
Germany,1974,78967433,1744370.771
Ghana,1974,9604276,10605.40835
Greece,1974,8962022,141476.8953
Grenada,1974,93152,
Guatemala,1974,6268707,13538.50648
Guinea,1974,4345545,
Guinea-Bissau,1974,768945,374.8378581
Guyana,1974,737847,1467.107746
Haiti,1974,5047944,
Honduras,1974,3059254,4169.835906
Hungary,1974,10478720,
Iceland,1974,215209,4456.115934
India,1974,607050255,213504.4732
Indonesia,1974,127465231,118145.6932
Iran,1974,31785500,239648.8848
Iraq,1974,11312305,19269.55324
Ireland,1974,3137500,43843.48629
Israel,1974,3377000,53584.27709
Italy,1974,55110868,1133675.676
Jamaica,1974,1998034,9402.111414
Japan,1974,110162000,2329980.966
Jordan,1974,2004833,
Kazakhstan,1974,13577049,
Kenya,1974,12997595,10661.87684
Kiribati,1974,54380,236.7652648
Korea (North),1974,15952078,
Korea (South),1974,34692266,87050.51031
Kuwait,1974,964834,
Kyrgyzstan,1974,3223900,
Laos,1974,2990965,
Latvia,1974,2437186,
Lebanon,1974,2535497,
Lesotho,1974,1123855,528.9978208
Liberia,1974,1578952,2573.788653
Libya,1974,2536888,
Liechtenstein,1974,22981,
Lithuania,1974,3273894,
Luxembourg,1974,355050,14856.08131
"Macedonia, FYR",1974,1784398,
Madagascar,1974,7345780,5003.874858
Malawi,1974,5141202,1866.600791
Malaysia,1974,11871233,30144.24371
Maldives,1974,132195,
Mali,1974,6368348,2259.539195
Malta,1974,301996,1407.633775
Marshall Islands,1974,24531,
Mauritania,1974,1290790,1611.436905
Mauritius,1974,878042,
Mexico,1974,59088193,347512.8157
Micronesia,1974,62476,
Moldova,1974,3215000,
Mongolia,1974,1438425,
Montenegro,1974,538902,
Morocco,1974,17416964,19389.06993
Mozambique,1974,10076172,
Myanmar,1974,29027734,4981.451576
Namibia,1974,880785,
Nauru,1974,6972,
Nepal,1974,13040404,3702.818547
Netherlands,1974,13545056,374291.65
New Zealand,1974,3023700,
Nicaragua,1974,2711848,6701.12339
Niger,1974,5040656,2471.397109
Nigeria,1974,61673559,125163.1984
Niue,1974,,
Norway,1974,3985258,151259.2498
Oman,1974,841948,7085.346944
Pakistan,1974,64870833,30856.05646
Palau,1974,12197,
Panama,1974,1699113,6396.633178
Papua New Guinea,1974,2802243,3702.207376
Paraguay,1974,2723523,4201.827043
Peru,1974,14832841,56766.13528
Philippines,1974,40149961,56436.60241
Poland,1974,33678899,
Portugal,1974,8754365,98621.56962
Qatar,1974,153704,
Romania,1974,21029429,
Russian Federation,1974,133432000,
Rwanda,1974,4226799,1342.725108
Saint Kitts & Nevis,1974,44331,
Saint Lucia,1974,108532,
Saint Vincent & Grenadines,1974,94568,173.7841261
Samoa,1974,150221,
Sao Tome & Principe,1974,80670,
Saudi Arabia,1974,7059334,276199.5886
Senegal,1974,4802348,4371.887468
Serbia,1974,,
Seychelles,1974,57937,256.1146866
Sierra Leone,1974,2927468,1446.175809
Singapore,1974,2229800,20321.81885
Slovakia,1974,4689623,
Slovenia,1974,1776132,
Solomon Islands,1974,186332,
Somalia,1974,3627504,
South Africa,1974,25040940,162035.4587
Spain,1974,35373335,590056.6425
Sri Lanka,1974,13284000,9969.071395
Sudan,1974,11732958,11920.13569
Suriname,1974,365099,
Swaziland,1974,501512,730.7669123
Sweden,1974,8159955,235803.9902
Switzerland,1974,6341405,
Syria,1974,7283177,
Tajikistan,1974,3296095,
Tanzania,1974,15477294,
Thailand,1974,41259536,43167.30668
Togo,1974,2356622,1435.83334
Tonga,1974,87609,
Trinidad & Tobago,1974,997053,7683.967671
Tunisia,1974,5526764,8870.910717
Turkey,1974,38370241,182039.7655
Turkmenistan,1974,2457382,
Tuvalu,1974,7616,
Uganda,1974,10533716,
Ukraine,1974,48455122,
United Arab Emirates,1974,471364,
United Kingdom,1974,56229974,1115839.893
United States of America,1974,213854000,5461938.302
Uruguay,1974,2824069,16181.97231
Uzbekistan,1974,13525094,
Vanuatu,1974,96796,
Venezuela,1974,12994025,186580.5636
Vietnam,1974,46918000,
World,1974,3991430917,22792352.12
Yemen,1974,6661566,
Zambia,1974,4794754,7598.115674
Zimbabwe,1974,5920943,7946.008857
Afghanistan,1975,12590286,
Albania,1975,2404831,
Algeria,1975,16709099,51873.29045
Andorra,1975,30705,1325.169113
Angola,1975,7682479,
Antigua & Barbuda,1975,71609,
Argentina,1975,26066975,197044.0111
Armenia,1975,2832757,
Australia,1975,13893000,380634.2576
Austria,1975,7578903,176718.8985
Azerbaijan,1975,5674137,
Bahamas,1975,188882,2501.661197
Bahrain,1975,266543,
Bangladesh,1975,71305923,23324.23519
Barbados,1975,246034,
Belarus,1975,9367000,
Belgium,1975,9800700,231793.6461
Belize,1975,133260,231.9215454
Benin,1975,3265165,1808.694556
Bhutan,1975,349982,
Bolivia,1975,5009257,8314.771041
Bosnia & Herzegovina,1975,3985103,
Botswana,1975,825840,1064.021762
Brazil,1975,107612100,731557.4634
Brunei,1975,161671,7101.43733
Bulgaria,1975,8720742,
Burkina Faso,1975,6154545,1736.474411
Burundi,1975,3671494,941.7962762
Cambodia,1975,7522593,
Cameroon,1975,7457362,7873.041437
Canada,1975,23209000,651176.0244
Cape Verde,1975,272423,
Central African Republic,1975,2017372,1205.1263
Chad,1975,4087948,2395.003797
Chile,1975,10435534,40844.31541
China,1975,916395000,248892.3969
Colombia,1975,24756973,80153.48929
Comoros,1975,257290,
Congo,1975,1590039,3276.502007
"Congo, Dem. Republic",1975,22902319,22860.93252
Cook Islands,1975,,
Costa Rica,1975,2097407,9189.190186
Cote d'Ivoire,1975,6608609,13501.17135
Croatia,1975,4514000,
Cuba,1975,9438442,25512.71736
Cyprus,1975,649755,3822.69581
Czech Republic,1975,10058620,
Denmark,1975,5059862,163447.1446
Djibouti,1975,224183,
Dominica,1975,72094,
Dominican Republic,1975,5149935,11357.1351
Ecuador,1975,6987391,23701.84412
Egypt,1975,39187702,32951.41642
El Salvador,1975,4147525,11791.89082
Equatorial Guinea,1975,259747,
Eritrea,1975,2075965,
Estonia,1975,1429352,
Ethiopia,1975,32566821,
European Union (28),1975,450351483,7399266.59
Fiji,1975,576595,1519.901827
Finland,1975,4711440,104941.6397
France,1975,54252574,1263994.942
Gabon,1975,649716,9540.056595
Gambia,1975,521070,267.7047086
Georgia,1975,4311200,12862.03918
Germany,1975,78673554,1729251.632
Ghana,1975,9831407,9286.98333
Greece,1975,9046541,150484.4586
Grenada,1975,92448,
Guatemala,1975,6433728,13802.50611
Guinea,1975,4364514,
Guinea-Bissau,1975,778470,404.2460783
Guyana,1975,745841,1591.562812
Haiti,1975,5140357,
Honduras,1975,3153261,4258.681839
Hungary,1975,10540525,
Iceland,1975,217979,4484.909353
India,1975,621301720,233039.9447
Indonesia,1975,130724115,124026.1598
Iran,1975,32730554,238867.1113
Iraq,1975,11684589,21676.44852
Ireland,1975,3189550,46323.55691
Israel,1975,3455000,55362.38738
Italy,1975,55441001,1109980.007
Jamaica,1975,2027737,9378.033334
Japan,1975,111940000,2402014.097
Jordan,1975,2062918,3430.655903
Kazakhstan,1975,13756789,
Kenya,1975,13486629,10755.93626
Kiribati,1975,55169,249.4189947
Korea (North),1975,16274740,
Korea (South),1975,35280725,93895.73734
Kuwait,1975,1024940,
Kyrgyzstan,1975,3292400,
Laos,1975,3051577,
Latvia,1975,2456130,
Lebanon,1975,2575690,
Lesotho,1975,1150635,457.5117132
Liberia,1975,1625013,2484.51449
Libya,1975,2645139,
Liechtenstein,1975,23432,
Lithuania,1975,3301652,
Luxembourg,1975,358950,13879.83308
"Macedonia, FYR",1975,1803010,
Madagascar,1975,7556026,5066.858212
Malawi,1975,5292808,1980.217492
Malaysia,1975,12162369,30385.90106
Maldives,1975,136519,
Mali,1975,6482278,2522.211736
Malta,1975,304222,1682.968079
Marshall Islands,1975,25576,
Mauritania,1975,1328686,1528.6997
Mauritius,1975,892000,
Mexico,1975,60872399,367475.6374
Micronesia,1975,63144,
Moldova,1975,3251000,
Mongolia,1975,1479651,
Montenegro,1975,546487,
Morocco,1975,17803698,20854.5388
Mozambique,1975,10344494,
Myanmar,1975,29721967,5188.316773
Namibia,1975,904839,
Nauru,1975,7070,
Nepal,1975,13325814,3756.749014
Netherlands,1975,13666335,374299.2432
New Zealand,1975,3083100,
Nicaragua,1975,2796746,6690.854127
Niger,1975,5184811,2402.366208
Nigeria,1975,63373572,118619.9824
Niue,1975,,
Norway,1975,4007313,158749.6601
Oman,1975,882044,8816.545384
Pakistan,1975,66787901,32155.53325
Palau,1975,12278,
Panama,1975,1745205,6507.993409
Papua New Guinea,1975,2878156,3669.632239
Paraguay,1975,2790962,4489.754918
Peru,1975,15229947,59207.56909
Philippines,1975,41295124,59577.17157
Poland,1975,34015199,
Portugal,1975,9093470,94333.86756
Qatar,1975,164413,
Romania,1975,21293583,
Russian Federation,1975,134200000,
Rwanda,1975,4359092,1314.342244
Saint Kitts & Nevis,1975,44276,
Saint Lucia,1975,109769,
Saint Vincent & Grenadines,1975,95611,160.5613969
Samoa,1975,151387,
Sao Tome & Principe,1975,82607,
Saudi Arabia,1975,7428703,251538.7926
Senegal,1975,4936209,4701.338157
Serbia,1975,,
Seychelles,1975,59292,264.2524876
Sierra Leone,1975,2993876,1470.315615
Singapore,1975,2262600,21258.45251
Slovakia,1975,4739105,
Slovenia,1975,1793581,
Solomon Islands,1975,193445,
Somalia,1975,3880320,
South Africa,1975,25698856,164782.6859
Spain,1975,35757900,593255.9492
Sri Lanka,1975,13496000,10579.79995
Sudan,1975,12144135,13793.20222
Suriname,1975,362654,2760.204463
Swaziland,1975,517024,832.4052289
Sweden,1975,8192437,241823.7422
Switzerland,1975,6338632,
Syria,1975,7535714,
Tajikistan,1975,3390935,
Tanzania,1975,15980301,
Thailand,1975,42334954,45312.89674
Togo,1975,2410446,1470.875444
Tonga,1975,88348,
Trinidad & Tobago,1975,1011490,7797.5339
Tunisia,1975,5652476,9505.721951
Turkey,1975,39277211,195099.5034
Turkmenistan,1975,2525361,
Tuvalu,1975,7677,
Uganda,1975,10827147,
Ukraine,1975,48758987,
United Arab Emirates,1975,554324,56806.67399
United Kingdom,1975,56225800,1099232.366
United States of America,1975,215973000,5451141.222
Uruguay,1975,2830172,17168.5733
Uzbekistan,1975,13892638,
Vanuatu,1975,99872,
Venezuela,1975,13360987,191984.4176
Vietnam,1975,48030000,
World,1975,4066267984,22968657.83
Yemen,1975,6830692,
Zambia,1975,4964831,7425.689437
Zimbabwe,1975,6115370,7792.553687
Afghanistan,1976,12840299,
Albania,1976,2458526,
Algeria,1976,17190239,56223.777
Andorra,1976,31777,1368.949878
Angola,1976,7900997,
Antigua & Barbuda,1976,72285,
Argentina,1976,26477152,193067.1674
Armenia,1976,2889579,
Australia,1976,14033000,390496.3083
Austria,1976,7565525,184809.8767
Azerbaijan,1976,5768724,
Bahamas,1976,192902,2631.376957
Bahrain,1976,283752,
Bangladesh,1976,72999136,24644.70439
Barbados,1976,247444,
Belarus,1976,9411000,
Belgium,1976,9818227,244896.3518
Belize,1976,135147,231.8426435
Benin,1976,3347173,1824.689861
Bhutan,1976,361455,
Bolivia,1976,5119833,8698.461749
Bosnia & Herzegovina,1976,4025265,
Botswana,1976,857855,1177.312167
Brazil,1976,110213082,803179.9396
Brunei,1976,168224,8532.760029
Bulgaria,1976,8758599,
Burkina Faso,1976,6274037,1884.680679
Burundi,1976,3739659,1016.599962
Cambodia,1976,7402873,
Cameroon,1976,7669445,7440.406914
Canada,1976,23518000,685032.6353
Cape Verde,1976,273652,
Central African Republic,1976,2062405,1270.595015
Chad,1976,4172230,2466.393238
Chile,1976,10601836,42409.70811
China,1976,930685000,244984.7862
Colombia,1976,25323406,84014.63297
Comoros,1976,265953,
Congo,1976,1637941,3306.524161
"Congo, Dem. Republic",1976,23559071,21647.24514
Cook Islands,1976,,
Costa Rica,1976,2151497,9696.209673
Cote d'Ivoire,1976,6922982,15245.0363
Croatia,1976,4530000,
Cuba,1976,9544271,26897.53757
Cyprus,1976,657534,4597.414512
Czech Republic,1976,10125939,
Denmark,1976,5072596,173130.6926
Djibouti,1976,248556,
Dominica,1976,72642,
Dominican Republic,1976,5280723,12121.25707
Ecuador,1976,7179399,25455.114
Egypt,1976,40089032,37771.31218
El Salvador,1976,4239675,12387.29407
Equatorial Guinea,1976,252194,
Eritrea,1976,2133723,
Estonia,1976,1439576,
Ethiopia,1976,33146891,
European Union (28),1976,452471001,7739547.629
Fiji,1976,587520,1561.488822
Finland,1976,4725664,105303.0408
France,1976,54541493,1318526.794
Gabon,1976,663770,12938.734
Gambia,1976,536409,287.384286
Georgia,1976,4342400,13646.31028
Germany,1976,78336950,1814836.763
Ghana,1976,10023472,8959.135842
Greece,1976,9188150,160795.5002
Grenada,1976,91437,
Guatemala,1976,6599214,14822.1339
Guinea,1976,4381601,
Guinea-Bissau,1976,784156,424.2298025
Guyana,1976,754101,1616.023752
Haiti,1976,5238245,
Honduras,1976,3251158,4705.872947
Hungary,1976,10598677,
Iceland,1976,220154,4752.181585
India,1976,635771734,236915.6405
Indonesia,1976,134010690,132567.3019
Iran,1976,33737768,282485.2863
Iraq,1976,12068168,25399.40104
Ireland,1976,3238050,46969.68162
Israel,1976,3533000,56090.87552
Italy,1976,55718260,1189070.358
Jamaica,1976,2055085,8750.244798
Japan,1976,112771000,2497493.775
Jordan,1976,2120069,4264.633675
Kazakhstan,1976,13920105,
Kenya,1976,13996704,10987.61531
Kiribati,1976,55977,182.6539383
Korea (North),1976,16554746,
Korea (South),1976,35848523,106210.3124
Kuwait,1976,1089209,
Kyrgyzstan,1976,3358700,
Laos,1976,3098973,
Latvia,1976,2470989,
Lebanon,1976,2598354,
Lesotho,1976,1179723,508.0627733
Liberia,1976,1672300,2616.460448
Libya,1976,2754696,
Liechtenstein,1976,23926,
Lithuania,1976,3328664,
Luxembourg,1976,360731,14231.59412
"Macedonia, FYR",1976,1825552,
Madagascar,1976,7773449,4911.363508
Malawi,1976,5454705,2079.183441
Malaysia,1976,12468893,33899.67691
Maldives,1976,140665,
Mali,1976,6596773,2865.823702
Malta,1976,305774,1969.360265
Marshall Islands,1976,26552,
Mauritania,1976,1367563,1659.343981
Mauritius,1976,906507,2124.319854
Mexico,1976,62623763,383708.6684
Micronesia,1976,64386,
Moldova,1976,3284000,
Mongolia,1976,1520865,
Montenegro,1976,552562,
Morocco,1976,18210754,23109.49448
Mozambique,1976,10632932,
Myanmar,1976,30428034,5503.78699
Namibia,1976,927503,
Nauru,1976,7156,
Nepal,1976,13621110,3921.990979
Netherlands,1976,13774037,390979.1763
New Zealand,1976,3110500,
Nicaragua,1976,2884155,7039.411128
Niger,1976,5334918,2418.659137
Nigeria,1976,65226229,129346.0184
Niue,1976,,
Norway,1976,4026152,167997.7025
Oman,1976,927439,10627.47464
Pakistan,1976,68813220,33813.53351
Palau,1976,12285,
Panama,1976,1791453,6616.316444
Papua New Guinea,1976,2957339,3545.288636
Paraguay,1976,2861581,4827.651607
Peru,1976,15639901,60064.36833
Philippines,1976,42461193,64823.91298
Poland,1976,34356300,
Portugal,1976,9355810,100843.1224
Qatar,1976,173836,
Romania,1976,21551634,
Russian Federation,1976,135147000,
Rwanda,1976,4499509,1570.699141
Saint Kitts & Nevis,1976,44148,
Saint Lucia,1976,111208,
Saint Vincent & Grenadines,1976,96641,177.2225646
Samoa,1976,152390,
Sao Tome & Principe,1976,84885,
Saudi Arabia,1976,7818613,296365.4559
Senegal,1976,5064674,5120.721202
Serbia,1976,,
Seychelles,1976,60504,307.2665766
Sierra Leone,1976,3062956,1463.711305
Singapore,1976,2293300,22839.38394
Slovakia,1976,4789507,
Slovenia,1976,1820249,
Solomon Islands,1976,200640,
Somalia,1976,4289469,
South Africa,1976,26354140,168490.1382
Spain,1976,36137812,612855.889
Sri Lanka,1976,13717000,10932.64757
Sudan,1976,12578407,16091.86967
Suriname,1976,361364,2661.607342
Swaziland,1976,533214,814.7629206
Sweden,1976,8222286,244382.491
Switzerland,1976,6302504,
Syria,1976,7794662,
Tajikistan,1976,3487644,
Tanzania,1976,16493305,
Thailand,1976,43386841,49539.14502
Togo,1976,2464455,1440.700102
Tonga,1976,89254,
Trinidad & Tobago,1976,1025658,8296.977554
Tunisia,1976,5781796,10254.47366
Turkey,1976,40189511,215509.2128
Turkmenistan,1976,2594311,
Tuvalu,1976,7749,
Uganda,1976,11139833,
Ukraine,1976,49036456,
United Arab Emirates,1976,646943,66195.03147
United Kingdom,1976,56211968,1131349.522
United States of America,1976,218035000,5744744.597
Uruguay,1976,2841429,17844.23738
Uzbekistan,1976,14279120,
Vanuatu,1976,103028,
Venezuela,1976,13739142,206820.474
Vietnam,1976,49158000,
World,1976,4139151082,24199556.64
Yemen,1976,7034868,
Zambia,1976,5139030,7887.639741
Zimbabwe,1976,6308300,7828.776508
Afghanistan,1977,13067538,
Albania,1977,2513546,
Algeria,1977,17690184,59180.35266
Andorra,1977,32771,1407.808555
Angola,1977,8130988,
Antigua & Barbuda,1977,72875,322.6118534
Argentina,1977,26878565,206454.73
Armenia,1977,2944379,
Australia,1977,14192000,404584.1439
Austria,1977,7568430,194198.1831
Azerbaijan,1977,5863134,
Bahamas,1977,197111,2872.277655
Bahrain,1977,303175,
Bangladesh,1977,74925896,25303.47115
Barbados,1977,248784,
Belarus,1977,9463000,
Belgium,1977,9830358,246429.7821
Belize,1977,136989,246.9045194
Benin,1977,3433439,1915.626267
Bhutan,1977,373324,
Bolivia,1977,5233677,9130.881079
Bosnia & Herzegovina,1977,4063191,
